,columns,RSS,BIC,weight,intercept
0,"('x0',)",127.38048296379442,33.41117541875205,[array([1.93290936])],0.45866556630380717
1,"('x1',)",3105.6766470623634,352.7920110116968,[array([0.04221421])],0.14616579248480815
2,"('x2',)",3107.414997635608,352.8479686803749,[array([-0.81577327])],2.117380402111855
3,"('x3',)",3079.8260309983884,351.95616086619594,[array([7.06157494])],0.48710182447839795
4,"('x4',)",3088.764296021303,352.2459603440227,[array([50.43593285])],0.023431602208290825
5,"('x0', 'x1')",80.57277227546558,-7.785430092700134,"[array([1.94345284, 0.06500664])]",-0.06313680730072141
6,"('x0', 'x2')",127.38014386224395,38.016079392841775,"[array([1.93296015, 0.00354782])]",0.4515652671272478
7,"('x0', 'x3')",127.35705694505893,37.99795332631119,"[array([1.93225302, 0.16118361])]",0.4587242275000365
8,"('x0', 'x4')",124.38248663925341,35.634630734316666,"[array([ 1.92805934, 14.46279749])]",0.3263962632698448
9,"('x1', 'x2')",3090.7149728604786,356.91426455212144,"[array([ 0.03894558, -0.74589783])]",1.6650246480550142
10,"('x1', 'x3')",3063.434757883931,356.02769549363705,"[array([0.03850143, 6.80686886])]",0.17806054899796764
11,"('x1', 'x4')",3071.5488793240615,356.29221538973525,"[array([3.94356307e-02, 4.87048565e+01])]",-0.2771883299938854
12,"('x2', 'x3')",3066.577831861966,356.13024256698986,"[array([-0.70211396,  6.70922744])]",1.8920054291542894
13,"('x2', 'x4')",3077.791764253925,356.4952578762867,"[array([-0.64471255, 45.92271671])]",1.3548731152968074
14,"('x3', 'x4')",3027.502686566495,354.8478282406182,"[array([ 8.28968542, 61.02035118])]",-0.0708578485320765
15,"('x0', 'x1', 'x2')",80.14554548432011,-3.711907827615377,"[array([1.94535707, 0.06558318, 0.12647062])]",-0.3208718124618298
16,"('x0', 'x1', 'x3')",80.48381053190363,-3.2907325754584207,"[array([ 1.944765  ,  0.06519372, -0.31478757])]",-0.06475311371241671
17,"('x0', 'x1', 'x4')",78.70689788092584,-5.5232579177922965,"[array([ 1.93950786,  0.06430851, 11.42629205])]",-0.1620319793292258
18,"('x0', 'x2', 'x3')",127.35607530527517,42.60235273163707,"[array([1.93232846, 0.00605757, 0.1639541 ])]",0.44660214238357565
19,"('x0', 'x2', 'x4')",124.29686702850616,40.17094147309484,"[array([ 1.92874683,  0.05707594, 14.84952237])]",0.20863271793996518
20,"('x0', 'x3', 'x4')",124.17362985577277,40.07174484058987,"[array([ 1.92584704,  0.48852689, 15.12783383])]",0.32049197776994176
21,"('x1', 'x2', 'x3')",3052.4601343315603,360.27397673449684,"[array([ 0.03585724, -0.64128097,  6.50254234])]",1.4824639115619913
22,"('x1', 'x2', 'x4')",3062.649266124091,360.6072215075548,"[array([ 3.71095202e-02, -5.82578991e-01,  4.47287048e+01])]",0.943668841740147
23,"('x1', 'x3', 'x4')",3014.418764118135,359.0198930640978,"[array([3.44617587e-02, 8.02444185e+00, 5.91689414e+01])]",-0.3305447248209476
24,"('x2', 'x3', 'x4')",3021.832600156645,359.26553690227087,"[array([-0.46689849,  7.98168133, 57.35863133])]",0.8968705915101394
25,"('x0', 'x1', 'x2', 'x3')",80.0840503030047,0.8165035248593355,"[array([ 1.94639478,  0.06572207,  0.12271236, -0.26252133])]",-0.31456078486449995
26,"('x0', 'x1', 'x2', 'x4')",77.94710157477643,-1.8881265009290935,"[array([ 1.94168961,  0.06501784,  0.17064654, 12.54903492])]",-0.5195106962645308
27,"('x0', 'x1', 'x3', 'x4')",78.70341180153838,-0.9225170215947678,"[array([ 1.93980217,  0.06435152, -0.06329971, 11.33809071])]",-0.16159361028616742
28,"('x0', 'x2', 'x3', 'x4')",124.05339663993834,44.58004142910187,"[array([ 1.92647518,  0.06807646,  0.53089118, 15.64676493])]",0.17951929851246723
29,"('x1', 'x2', 'x3', 'x4')",3009.928836392913,363.4760038380368,"[array([ 3.29614723e-02, -4.16623054e-01,  7.76115084e+00,  5.59821148e+01])]",0.5442845462035257
30,"('x0', 'x1', 'x2', 'x3', 'x4')",77.94587041837947,2.715464195770622,"[array([ 1.9415232 ,  0.06499523,  0.17139107,  0.0378378 , 12.60665633])]",-0.5213324093200769
