,columns,score,BIC,weight,intercept
0,"('x0',)",0.78,-142.20243289100137,[array([[0.57184752]])],[0.94334937]
1,"('x1',)",0.66,-98.6706257652168,[array([[0.548331]])],[0.73213825]
2,"('x02',)",0.65,-95.7718720778916,[array([[0.00338999]])],[0.58526542]
3,"('x12',)",0.65,-95.7718720778916,[array([[-0.06820943]])],[0.67833885]
4,"('x01',)",0.72,-118.08622720931254,[array([[-0.58138504]])],[0.91343427]
5,"('x0', 'x1')",0.83,-163.38017363522326,"[array([[0.57502705, 0.69980805]])]",[1.06577672]
6,"('x0', 'x02')",0.76,-128.8961250060503,"[array([[0.77702819, 0.07333008]])]",[0.77450157]
7,"('x0', 'x12')",0.79,-142.24926426850257,"[array([[ 0.58881757, -0.27411518]])]",[1.19492227]
8,"('x0', 'x01')",0.85,-175.89648793062386,"[array([[ 0.78537524, -1.02195482]])]",[1.42678614]
9,"('x1', 'x02')",0.65,-91.16670189190351,"[array([[0.56624042, 0.00982163]])]",[0.63740357]
10,"('x1', 'x12')",0.64,-88.34961419523387,"[array([[0.66630811, 0.1537392 ]])]",[0.63619371]
11,"('x1', 'x01')",0.79,-142.24926426850257,"[array([[ 0.99924003, -0.66302565]])]",[1.03477654]
12,"('x02', 'x12')",0.65,-91.16670189190351,"[array([[ 0.00350408, -0.06879125]])]",[0.64396842]
13,"('x02', 'x01')",0.72,-113.48105702332445,"[array([[ 0.0209798 , -0.63386266]])]",[0.77039428]
14,"('x12', 'x01')",0.72,-113.48105702332445,"[array([[ 0.00934634, -0.58261023]])]",[0.9086233]
15,"('x0', 'x1', 'x02')",0.82,-153.0591620652403,"[array([[0.78263025, 0.76891845, 0.07799336]])]",[0.86317302]
16,"('x0', 'x1', 'x12')",0.82,-153.0591620652403,"[array([[ 0.58461108,  0.64604617, -0.10231591]])]",[1.14661486]
17,"('x0', 'x1', 'x01')",0.86,-178.19060489333089,"[array([[ 0.72259854,  0.58044869, -1.0091985 ]])]",[1.32141277]
18,"('x0', 'x02', 'x12')",0.78,-132.99209251902516,"[array([[ 0.78724114,  0.07112051, -0.2939448 ]])]",[1.03831669]
19,"('x0', 'x02', 'x01')",0.89,-202.30681057501968,"[array([[ 1.36488718,  0.20203899, -1.41813564]])]",[1.10544576]
20,"('x0', 'x12', 'x01')",0.86,-178.19060489333089,"[array([[ 0.78739449, -0.06975006, -1.01149989]])]",[1.46869718]
21,"('x1', 'x02', 'x12')",0.68,-95.52274757488411,"[array([[0.68683102, 0.01016465, 0.15684137]])]",[0.53525563]
22,"('x1', 'x02', 'x01')",0.76,-124.29095482006221,"[array([[ 1.0239066 ,  0.02452929, -0.73117982]])]",[0.86335692]
23,"('x1', 'x12', 'x01')",0.82,-153.0591620652403,"[array([[ 1.04829988,  0.19199545, -0.6906267 ]])]",[0.94833099]
24,"('x02', 'x12', 'x01')",0.7,-101.97659968864124,"[array([[ 0.02347144,  0.09924756, -0.65396868]])]",[0.70541702]
25,"('x0', 'x1', 'x02', 'x12')",0.82,-148.45399187925221,"[array([[ 0.7913022 ,  0.72092032,  0.07745119, -0.13566754]])]",[0.96818657]
26,"('x0', 'x1', 'x02', 'x01')",0.89,-197.70164038903158,"[array([[ 1.29244929,  0.24375159,  0.19192218, -1.39089583]])]",[1.03031071]
27,"('x0', 'x1', 'x12', 'x01')",0.86,-173.5854347073428,"[array([[ 0.72638612,  0.57761039, -0.06618801, -0.99813305]])]",[1.35912426]
28,"('x0', 'x02', 'x12', 'x01')",0.89,-197.70164038903158,"[array([[ 1.3630783 ,  0.2019553 ,  0.01004494, -1.42037864]])]",[1.0986807]
29,"('x1', 'x02', 'x12', 'x01')",0.82,-148.45399187925221,"[array([[ 1.10619041,  0.03262395,  0.32056591, -0.80755542]])]",[0.67614136]
30,"('x0', 'x1', 'x02', 'x12', 'x01')",0.89,-193.0964702030435,"[array([[ 1.29681986,  0.24812226,  0.19213949, -0.02636006, -1.38499375]])]",[1.04638009]
